iter	Passed	Remaining
0	137	137560
1	138	69195
2	140	46581
3	141	35154
4	141	28241
5	142	23674
6	143	20411
7	144	17948
8	145	16026
9	146	14477
10	146	13211
11	147	12173
12	148	11272
13	149	10502
14	149	9841
15	150	9273
16	151	8759
17	152	8301
18	152	7895
19	153	7539
20	154	7202
21	155	6896
22	155	6619
23	156	6365
24	157	6130
25	157	5914
26	158	5714
27	159	5523
28	159	5351
29	160	5196
30	161	5045
31	162	4904
32	162	4774
33	163	4649
34	164	4531
35	164	4418
36	165	4310
37	166	4210
38	167	4118
39	167	4027
40	168	3944
41	169	3860
42	169	3781
43	170	3704
44	171	3633
45	172	3567
46	172	3502
47	173	3438
48	173	3376
49	174	3316
50	175	3259
51	175	3202
52	176	3148
53	176	3096
54	177	3046
55	177	2998
56	178	2951
57	178	2905
58	179	2861
59	179	2819
60	180	2779
61	181	2741
62	181	2703
63	182	2666
64	182	2630
65	183	2596
66	184	2564
67	184	2532
68	185	2503
69	186	2472
70	186	2443
71	187	2416
72	188	2389
73	188	2362
74	189	2337
75	190	2311
76	190	2286
77	191	2261
78	192	2238
79	192	2215
80	193	2191
81	193	2170
82	194	2146
83	194	2126
84	195	2106
85	196	2087
86	197	2067
87	197	2050
88	198	2032
89	199	2013
90	199	1997
91	200	1979
92	201	1963
93	202	1946
94	202	1930
95	203	1913
96	203	1897
97	204	1881
98	205	1866
99	205	1850
100	206	1836
101	206	1822
102	207	1807
103	208	1793
104	208	1780
105	209	1767
106	210	1754
107	210	1742
108	211	1730
109	212	1717
110	213	1705
111	213	1694
112	214	1682
113	215	1671
114	215	1660
115	216	1649
116	216	1637
117	217	1626
118	218	1615
119	218	1604
120	219	1594
121	219	1582
122	220	1572
123	221	1562
124	221	1551
125	222	1541
126	222	1531
127	223	1522
128	224	1513
129	224	1504
130	225	1495
131	226	1487
132	226	1478
133	227	1469
134	228	1461
135	228	1452
136	229	1444
137	229	1435
138	230	1427
139	231	1419
140	231	1411
141	232	1402
142	232	1394
143	233	1386
144	233	1379
145	234	1371
146	235	1363
147	235	1356
148	236	1349
149	236	1342
150	237	1335
151	238	1328
152	238	1322
153	239	1316
154	240	1309
155	240	1302
156	241	1296
